gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
male,group C,high school,free/reduced,Completed,58,51,52
male,group A,some college,standard,Completed,100,96,86
female,group E,bachelor's degree,free/reduced,None,61,58,62
male,group D,some college,standard,Completed,100,97,99
male,group B,associate's degree,free/reduced,Completed,69,70,63
male,group D,associate's degree,standard,None,61,48,46
male,group D,some college,free/reduced,None,49,57,46
female,group C,some high school,standard,Completed,44,51,55
male,group D,some college,standard,None,67,64,70
male,group B,high school,standard,None,79,60,65
female,group B,bachelor's degree,standard,Completed,66,74,81
female,group C,high school,standard,None,75,88,85
male,group D,some high school,standard,None,84,84,80
male,group A,high school,standard,None,71,74,64
female,group B,high school,free/reduced,Completed,67,80,81
female,group D,some high school,standard,Completed,80,92,88
male,group E,some college,standard,None,86,76,74
female,group D,associate's degree,standard,None,76,74,73
male,group D,high school,standard,None,41,52,51
female,group D,associate's degree,free/reduced,Completed,74,88,90
female,group B,some high school,free/reduced,None,72,81,79
female,group E,high school,standard,Completed,74,79,80
male,group B,high school,standard,None,70,65,60
female,group B,bachelor's degree,standard,Completed,65,81,81
female,group D,associate's degree,standard,None,59,70,65
female,group E,high school,free/reduced,None,64,62,68
female,group B,high school,standard,None,50,53,55
female,group D,some college,standard,Completed,69,79,81
male,group C,some high school,free/reduced,Completed,51,56,53
female,group A,high school,standard,Completed,68,80,76
female,group D,some college,standard,Completed,85,86,98
female,group A,associate's degree,standard,Completed,65,70,74
female,group B,some high school,standard,None,73,79,79
female,group B,some college,standard,None,62,67,67
male,group C,associate's degree,free/reduced,None,77,67,64
male,group D,some high school,standard,None,69,66,61
female,group D,associate's degree,free/reduced,None,43,60,58
male,group D,associate's degree,standard,None,90,87,85
male,group C,some college,free/reduced,None,74,77,73
male,group C,some high school,standard,None,73,66,63
female,group D,some college,free/reduced,None,55,71,69
female,group C,high school,standard,None,65,69,67
male,group D,associate's degree,standard,None,80,63,63
female,group C,some high school,free/reduced,Completed,50,60,60
female,group C,some college,free/reduced,Completed,63,73,71
female,group B,bachelor's degree,free/reduced,None,77,85,87
male,group C,some college,standard,None,73,74,61
male,group D,associate's degree,standard,Completed,81,72,77
female,group C,high school,free/reduced,None,66,76,68
male,group D,associate's degree,free/reduced,None,52,57,50
female,group C,some college,standard,None,69,78,76
female,group C,associate's degree,standard,Completed,65,84,84
female,group D,high school,standard,Completed,69,77,78
female,group B,some college,standard,Completed,50,64,66
female,group E,some college,standard,Completed,73,78,76
female,group C,some high school,standard,Completed,70,82,76
male,group D,associate's degree,free/reduced,None,81,75,78
male,group D,some college,free/reduced,None,63,61,60
female,group D,high school,standard,None,67,72,74
male,group B,high school,standard,None,60,68,60
male,group B,high school,standard,None,62,55,54
female,group C,some high school,free/reduced,Completed,29,40,44
male,group B,some college,standard,Completed,62,66,68
female,group E,master's degree,standard,Completed,94,99,100
male,group E,some college,standard,Completed,85,75,68
male,group D,associate's degree,free/reduced,None,77,78,73
male,group A,high school,free/reduced,None,53,58,44
male,group E,some college,free/reduced,None,93,90,83
female,group C,associate's degree,standard,None,49,53,53
female,group E,associate's degree,free/reduced,None,73,76,78
female,group C,bachelor's degree,free/reduced,Completed,66,74,81
female,group D,associate's degree,standard,None,77,77,73
female,group C,some high school,standard,None,49,63,56
female,group D,some college,free/reduced,None,79,89,86
female,group C,associate's degree,standard,Completed,75,82,90
female,group A,bachelor's degree,standard,None,59,72,70
female,group D,associate's degree,standard,Completed,57,78,79
male,group C,high school,free/reduced,None,66,66,59
female,group E,bachelor's degree,standard,Completed,79,81,82
female,group B,some high school,standard,None,57,67,72
male,group A,bachelor's degree,standard,Completed,87,84,87
female,group D,some college,standard,None,63,64,67
female,group B,some high school,free/reduced,Completed,59,63,64
male,group A,bachelor's degree,free/reduced,None,62,72,65
male,group D,high school,standard,None,46,34,36
male,group C,some college,standard,None,66,59,52
male,group D,high school,standard,None,89,87,79
female,group D,associate's degree,free/reduced,Completed,42,61,58
male,group C,some college,standard,Completed,93,84,90
female,group E,some high school,standard,Completed,80,85,85
female,group D,some college,standard,None,98,100,99
male,group D,master's degree,standard,None,81,81,84
female,group B,some high school,standard,Completed,60,70,74
female,group B,associate's degree,free/reduced,Completed,76,94,87
male,group C,associate's degree,standard,Completed,73,78,72
female,group C,associate's degree,standard,Completed,96,96,99
female,group C,high school,standard,None,76,76,74
male,group E,associate's degree,free/reduced,Completed,91,73,80
female,group C,some college,free/reduced,None,62,72,70
male,group D,some high school,free/reduced,Completed,55,59,59
female,group B,some high school,free/reduced,Completed,74,90,88
male,group C,high school,standard,None,50,48,42
male,group B,some college,standard,None,47,43,41
male,group E,some college,standard,Completed,81,74,71
female,group E,associate's degree,standard,Completed,65,75,77
male,group E,some high school,standard,Completed,68,51,57
female,group D,high school,free/reduced,None,73,92,84
male,group C,some college,standard,None,53,39,37
female,group B,associate's degree,free/reduced,Completed,68,77,80
male,group A,some high school,free/reduced,None,55,46,43
female,group C,some college,standard,Completed,87,89,94
male,group D,some high school,standard,None,55,47,44
female,group E,some college,free/reduced,None,53,58,57
male,group C,master's degree,standard,None,67,57,59
male,group C,associate's degree,standard,None,92,79,84
female,group B,some college,free/reduced,Completed,53,66,73
male,group D,associate's degree,standard,None,81,71,73
male,group C,high school,free/reduced,None,61,60,55
male,group D,bachelor's degree,standard,None,80,73,72
female,group A,associate's degree,free/reduced,None,37,57,56
female,group C,high school,standard,None,81,84,82
female,group C,associate's degree,standard,Completed,59,73,72
male,group B,some college,free/reduced,None,55,55,47
male,group D,associate's degree,standard,None,72,79,74
male,group D,high school,standard,None,69,75,71
male,group C,some college,standard,None,69,64,68
female,group C,bachelor's degree,free/reduced,None,50,60,59
male,group B,some college,standard,Completed,87,84,86
male,group D,some high school,standard,Completed,71,69,68
male,group E,some college,standard,None,68,72,65
male,group C,master's degree,free/reduced,Completed,79,77,75
female,group C,some high school,standard,Completed,77,90,85
male,group C,associate's degree,free/reduced,None,58,55,53
female,group E,associate's degree,standard,None,84,95,92
male,group D,some college,standard,None,55,58,52
male,group E,bachelor's degree,free/reduced,Completed,70,68,72
female,group D,some college,free/reduced,Completed,52,59,65
male,group B,some college,standard,Completed,69,77,77
female,group C,high school,free/reduced,None,53,72,64
female,group D,some high school,standard,None,48,58,54
male,group D,some high school,standard,Completed,78,81,86
female,group B,high school,standard,None,62,62,63
male,group D,some college,standard,None,60,63,59
female,group B,high school,standard,None,74,72,72
female,group C,high school,standard,Completed,58,75,77
male,group B,high school,standard,Completed,76,62,60
female,group D,some high school,standard,None,68,71,75
male,group A,some college,free/reduced,None,58,60,57
male,group B,high school,standard,None,52,48,49
male,group D,bachelor's degree,standard,None,75,73,74
female,group B,some high school,free/reduced,Completed,52,67,72
female,group C,bachelor's degree,free/reduced,None,62,78,79
male,group B,some college,standard,None,66,65,60
female,group B,some high school,free/reduced,None,49,58,55
female,group B,high school,standard,None,66,72,70
female,group C,some college,free/reduced,None,35,44,43
female,group A,some college,standard,Completed,72,79,82
male,group E,associate's degree,standard,Completed,94,85,82
female,group D,associate's degree,free/reduced,None,46,56,57
female,group B,master's degree,standard,None,77,90,84
female,group B,high school,free/reduced,Completed,76,85,82
female,group C,associate's degree,standard,Completed,52,59,62
male,group C,bachelor's degree,standard,Completed,91,81,79
female,group B,some high school,standard,Completed,32,51,44
female,group E,some high school,free/reduced,None,72,79,77
female,group B,some college,standard,None,19,38,32
male,group C,associate's degree,free/reduced,None,68,65,61
female,group C,master's degree,free/reduced,None,52,65,61
female,group B,high school,standard,None,48,62,60
female,group D,some college,free/reduced,None,60,66,70
male,group D,high school,free/reduced,None,66,74,69
male,group E,some high school,standard,Completed,89,84,77
female,group B,high school,standard,None,42,52,51
female,group E,associate's degree,free/reduced,Completed,57,68,73
male,group D,high school,standard,None,70,70,70
female,group E,associate's degree,free/reduced,None,70,84,81
male,group E,some college,standard,None,69,60,54
female,group C,associate's degree,standard,None,52,55,57
male,group C,some high school,standard,Completed,67,73,68
male,group C,some high school,standard,Completed,76,80,73
female,group E,associate's degree,standard,None,87,94,95
female,group B,some college,standard,None,82,85,87
female,group C,some college,standard,None,73,76,78
male,group A,some college,free/reduced,None,75,81,74
female,group D,some college,free/reduced,None,64,74,75
female,group E,high school,free/reduced,None,41,45,40
male,group C,high school,standard,None,90,75,69
male,group B,bachelor's degree,standard,None,59,54,51
male,group A,some high school,standard,None,51,31,36
male,group A,high school,free/reduced,None,45,47,49
female,group C,master's degree,standard,Completed,54,64,67
male,group E,some high school,standard,Completed,87,84,76
female,group C,high school,standard,None,72,80,83
male,group B,some high school,standard,Completed,94,86,87
female,group A,bachelor's degree,standard,None,45,59,64
male,group D,bachelor's degree,free/reduced,Completed,61,70,76
female,group B,high school,free/reduced,None,60,72,68
female,group C,some high school,standard,None,77,91,88
female,group A,some high school,standard,Completed,85,90,92
female,group D,bachelor's degree,free/reduced,None,78,90,93
male,group E,some college,free/reduced,Completed,49,52,51
female,group B,high school,free/reduced,None,71,87,82
female,group C,some high school,free/reduced,None,48,58,52
male,group C,high school,standard,None,62,67,58
female,group C,associate's degree,free/reduced,Completed,56,68,70
female,group C,some high school,standard,None,65,69,76
female,group D,some high school,free/reduced,Completed,69,86,81
male,group B,some high school,standard,None,68,54,53
female,group A,some college,free/reduced,None,61,60,57
female,group C,bachelor's degree,free/reduced,Completed,74,86,89
male,group A,bachelor's degree,standard,None,64,60,58
female,group B,high school,standard,Completed,77,82,89
male,group B,some college,standard,None,58,50,45
female,group C,high school,standard,Completed,60,64,74
male,group E,high school,standard,None,73,64,57
female,group A,high school,standard,Completed,75,82,79
male,group B,associate's degree,free/reduced,Completed,58,57,53
female,group C,associate's degree,standard,None,66,77,73
female,group D,high school,free/reduced,None,39,52,46
male,group C,some high school,standard,None,64,58,51
female,group B,high school,free/reduced,Completed,23,44,36
male,group B,some college,free/reduced,Completed,74,77,76
female,group D,some high school,free/reduced,Completed,40,65,64
male,group E,master's degree,standard,None,90,85,84
male,group C,master's degree,standard,Completed,91,85,85
male,group D,high school,standard,None,64,54,50
female,group C,high school,standard,None,59,72,68
male,group D,associate's degree,standard,None,80,75,69
male,group C,master's degree,standard,None,71,67,67
female,group A,high school,standard,None,61,68,63
female,group E,some college,standard,None,87,85,93
male,group E,some high school,standard,None,82,67,61
male,group C,some high school,standard,None,62,64,55
female,group B,bachelor's degree,standard,None,97,97,96
male,group B,some college,free/reduced,None,75,68,65
female,group C,bachelor's degree,standard,None,65,79,81
male,group B,high school,standard,Completed,52,49,46
male,group C,associate's degree,free/reduced,None,87,73,72
female,group C,associate's degree,standard,None,53,62,53
female,group E,master's degree,free/reduced,None,81,86,87
male,group D,bachelor's degree,free/reduced,Completed,39,42,38
female,group C,some college,standard,Completed,71,71,80
male,group C,associate's degree,standard,None,97,93,91
male,group D,some college,standard,Completed,82,82,88
male,group C,high school,free/reduced,None,59,53,52
male,group B,associate's degree,standard,None,61,42,41
male,group E,associate's degree,free/reduced,Completed,78,74,72
male,group C,associate's degree,free/reduced,None,49,51,51
male,group B,high school,standard,None,59,58,47
female,group C,some college,standard,Completed,70,72,76
male,group B,associate's degree,standard,Completed,82,84,78
male,group E,associate's degree,free/reduced,None,90,90,82
female,group C,bachelor's degree,free/reduced,None,43,62,61
male,group C,some college,free/reduced,None,80,64,66
male,group D,some college,standard,None,81,82,84
male,group C,some high school,standard,None,57,61,54
female,group D,some high school,standard,None,59,72,80
female,group D,associate's degree,standard,None,64,76,74
male,group C,bachelor's degree,standard,Completed,63,64,66
female,group E,bachelor's degree,standard,Completed,71,70,70
female,group B,high school,free/reduced,None,64,73,71
male,group D,bachelor's degree,free/reduced,None,55,46,44
female,group E,associate's degree,standard,None,51,51,54
female,group C,associate's degree,standard,Completed,62,76,80
female,group E,associate's degree,standard,Completed,93,100,95
male,group C,high school,free/reduced,None,54,72,59
female,group D,some college,free/reduced,None,69,65,74
male,group D,high school,free/reduced,None,44,51,48
female,group E,some college,standard,Completed,86,85,91
female,group E,associate's degree,standard,None,85,92,85
female,group A,master's degree,free/reduced,None,50,67,73
male,group D,some high school,standard,Completed,88,74,75
female,group E,associate's degree,standard,None,59,62,69
female,group E,some high school,free/reduced,None,32,34,38
male,group B,high school,free/reduced,None,36,29,27
female,group B,some high school,free/reduced,Completed,63,78,79
male,group D,associate's degree,standard,Completed,67,54,63
female,group D,some high school,standard,Completed,65,78,82
male,group D,master's degree,standard,None,85,84,89
female,group C,master's degree,standard,None,73,78,74
female,group A,high school,free/reduced,Completed,34,48,41
female,group D,bachelor's degree,free/reduced,Completed,93,100,100
female,group D,some high school,free/reduced,None,67,84,84
male,group D,some college,standard,None,88,77,77
male,group B,high school,standard,None,57,48,51
female,group D,some college,standard,Completed,79,84,91
female,group C,bachelor's degree,free/reduced,None,67,75,72
male,group E,bachelor's degree,standard,Completed,70,64,70
male,group D,bachelor's degree,free/reduced,None,50,42,48
female,group A,some college,standard,None,69,84,82
female,group C,bachelor's degree,standard,Completed,52,61,66
female,group C,bachelor's degree,free/reduced,Completed,47,62,66
female,group B,associate's degree,free/reduced,None,46,61,55
female,group E,some college,standard,None,68,70,66
male,group E,bachelor's degree,standard,Completed,100,100,100
female,group C,high school,standard,None,44,61,52
female,group C,associate's degree,standard,Completed,57,77,80
male,group B,some college,standard,Completed,91,96,91
male,group D,high school,free/reduced,None,69,70,67
female,group C,high school,free/reduced,None,35,53,46
male,group D,high school,standard,None,72,66,66
female,group B,associate's degree,free/reduced,None,54,65,65
male,group D,high school,free/reduced,None,74,70,69
male,group E,some high school,standard,Completed,74,64,60
male,group E,associate's degree,free/reduced,None,64,56,52
female,group D,high school,free/reduced,Completed,65,61,71
male,group E,associate's degree,free/reduced,Completed,46,43,44
female,group C,some high school,free/reduced,None,48,56,51
male,group C,some college,free/reduced,Completed,67,74,70
male,group D,some college,free/reduced,None,62,57,62
male,group D,associate's degree,free/reduced,Completed,61,71,73
male,group C,bachelor's degree,free/reduced,Completed,70,75,74
male,group C,associate's degree,standard,Completed,98,87,90
male,group D,some college,free/reduced,None,70,63,58
male,group A,associate's degree,standard,None,67,57,53
female,group E,high school,free/reduced,None,57,58,57
male,group D,some college,standard,Completed,85,81,85
male,group D,some high school,standard,Completed,77,68,69
male,group C,master's degree,free/reduced,Completed,72,66,72
female,group D,master's degree,standard,None,78,91,96
male,group C,high school,standard,None,81,66,64
male,group A,some high school,free/reduced,Completed,61,62,61
female,group B,high school,standard,None,58,68,61
female,group C,associate's degree,standard,None,54,61,58
male,group B,high school,standard,None,82,82,80
female,group D,some college,free/reduced,None,49,58,60
male,group B,some high school,free/reduced,Completed,49,50,52
female,group E,high school,free/reduced,Completed,57,75,73
male,group E,high school,standard,None,94,73,71
female,group D,some college,standard,Completed,75,77,83
female,group E,some high school,free/reduced,None,74,74,72
male,group C,high school,standard,Completed,58,52,54
female,group C,some college,standard,None,62,69,69
male,group E,associate's degree,standard,None,72,57,62
male,group C,some college,standard,None,84,87,81
female,group D,master's degree,standard,None,92,100,100
female,group D,high school,standard,None,45,63,59
male,group C,high school,standard,None,75,81,71
female,group A,some college,standard,None,56,58,64
female,group D,some high school,free/reduced,None,48,54,53
female,group E,associate's degree,standard,None,100,100,100
female,group C,some high school,free/reduced,Completed,65,76,75
male,group D,some college,standard,None,72,57,58
female,group D,some college,standard,None,62,70,72
male,group A,some high school,standard,Completed,66,68,64
male,group C,some college,standard,None,63,63,60
female,group E,associate's degree,standard,None,68,76,67
female,group B,bachelor's degree,standard,None,75,84,80
female,group D,bachelor's degree,standard,None,89,100,100
male,group C,some high school,standard,Completed,78,72,69
female,group A,high school,free/reduced,Completed,53,50,60
female,group D,some college,free/reduced,None,49,65,61
female,group A,some college,standard,None,54,63,67
female,group C,some college,standard,Completed,64,82,77
male,group B,some college,free/reduced,Completed,60,62,60
male,group C,associate's degree,standard,None,62,65,58
male,group D,high school,standard,Completed,55,41,48
female,group C,associate's degree,standard,None,91,95,94
female,group B,high school,free/reduced,None,8,24,23
male,group D,some high school,standard,None,81,78,78
male,group B,some high school,standard,Completed,79,85,86
female,group A,some college,standard,Completed,78,87,91
female,group C,some high school,standard,None,74,75,82
male,group A,high school,standard,None,57,51,54
female,group C,associate's degree,standard,None,40,59,51
male,group E,some high school,standard,Completed,81,75,76
female,group A,some high school,free/reduced,None,44,45,45
female,group D,some college,free/reduced,Completed,67,86,83
male,group E,high school,free/reduced,Completed,86,81,75
female,group B,some high school,standard,Completed,65,82,78
female,group D,associate's degree,free/reduced,None,55,76,76
female,group D,bachelor's degree,free/reduced,None,62,72,74
male,group A,high school,standard,None,63,63,62
female,group E,master's degree,standard,Completed,88,99,95
male,group C,high school,free/reduced,None,62,55,55
female,group C,high school,free/reduced,Completed,59,71,65
female,group D,some college,standard,Completed,68,78,77
female,group D,some college,free/reduced,None,77,86,86
